description,change1_sh,up1_sh,down1_sh,total1,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total2,total3,total4,up2_sh,up3_sh,up4_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change2_sh,change3_sh,change4_sh,division,_merge
FRESH WHITE FISH FILLETS KG,.28118181,.16358797,.11759382,37570,6146,482,57,24,4418,356,59,26,27006,2774,384,216,.15059721,.15071948,.1040213,.1041228,-.13827151,-.14406945,-.11149132,-.099948682,3612,500,266,.13344407,.114,.090225562,.098560356,.118,.097744361,.71881819,.7679956,.76800001,.81203008,.23200443,.23199999,.18796992,1,matched (3)
DISHWASHER TABLETS,.28032947,.14519057,.13513891,7163,1040,0,0,0,968,0,0,0,5155,0,0,0,.4387635,,,,-.28434697,,,,0,0,0,,,,,,,.71967053,,,,,,,5,matched (3)
WOMEN'S DRESS SUMMER FABRIC -2,.27956539,.04931049,.2302549,2393,118,0,0,0,551,0,0,0,1724,0,0,0,.19393246,,,,-.25561267,,,,0,0,0,,,,,,,.72043461,,,,,,,3,matched (3)
NON-DAIRY MILK DRINK 900ML-1LTNON-DAIRY MILK DRINK 900ML-1LTNON-DAIRY MILK DRINK 900ML-1LT,.27953291,.15193608,.12759681,8135,1236,1100,193,115,1038,909,255,159,5861,5491,1219,725,.35327587,.3569963,.32159314,.33121568,-.27647316,-.27383783,-.24240157,-.19936633,7500,1667,999,.14666666,.11577684,.11511511,.1212,.15296941,.15915915,.72046709,.73213333,.73125374,.72572571,.26786667,.26874626,.27427426,1,matched (3)
WOMEN'S SKIRT-WINTER FABRIC-2,.27909112,.098003216,.18108791,4357,427,0,0,0,789,0,0,0,3141,0,0,0,.27802899,,,,-.22123069,,,,0,0,0,,,,,,,.72090888,,,,,,,3,matched (3)
WIDESCREEN TV (24-32 INCH),.27901354,.084139265,.19487427,2068,174,0,0,0,403,0,0,0,1491,0,0,0,.11438586,,,,-.10477287,,,,0,0,0,,,,,,,.72098649,,,,,,,9,matched (3)
BAG OF ORGANIC DESSERT APPLES,.27875096,.13937548,.13937548,3939,549,0,0,0,549,0,0,0,2841,0,0,0,.25277951,,,,-.18263119,,,,0,0,0,,,,,,,.72124904,,,,,,,1,matched (3)
CIGARETTES 12,.27871391,.25072631,.027987605,30978,7767,15,0,0,867,2,0,0,22344,123,0,0,.014709978,.00099208625,,,-.010803234,-.027320687,,,140,0,0,.10714286,,,.014285714,,,.72128606,.87857145,,,.12142857,,,2,matched (3)
WOMEN'S SHT SLV TOP NOT BLOUSE,.27851096,.11832165,.16018932,10987,1300,0,0,0,1760,0,0,0,7927,0,0,0,.27052134,,,,-.23414105,,,,0,0,0,,,,,,,.72148901,,,,,,,3,matched (3)
CIGARETTES 17,.27848101,.13080169,.14767933,1185,155,0,0,0,175,0,0,0,855,0,0,0,.010651024,,,,-.010457799,,,,0,0,0,,,,,,,.72151899,,,,,,,2,matched (3)
WOMEN'S SKIRT-WORK/FORMAL 2,.27831143,.11349849,.16481294,3956,449,0,0,0,652,0,0,0,2855,0,0,0,.3206659,,,,-.24455628,,,,0,0,0,,,,,,,.72168857,,,,,,,3,matched (3)
RES2 Boys jeans (5-15 years),.27785146,.13527851,.14257294,1508,204,0,0,0,215,0,0,0,1089,0,0,0,.2244923,,,,-.2172679,,,,0,0,0,,,,,,,.72214854,,,,,,,,matched (3)
CANNED MEAT-CORNED BEEF,.27713519,.14488702,.13224818,26110,3783,0,0,0,3453,0,0,0,18874,0,0,0,.164768,,,,-.14330909,,,,0,0,0,,,,,,,.72286481,,,,,,,1,matched (3)
"INFANT'S DUNGAREES, UNDER 2 YR",.27712339,.11221327,.16491011,1613,181,0,0,0,266,0,0,0,1166,0,0,0,.22871971,,,,-.21962182,,,,0,0,0,,,,,,,.72287661,,,,,,,3,matched (3)
PATIO TABLE & CHAIRS-SEASONAL,.27712327,.082820468,.1943028,5687,471,132,12,6,1105,207,23,9,4111,832,123,118,.25874615,.49204627,.98251164,1.1025498,-.21961913,-.20332251,-.26307943,-.18590721,1171,158,133,.11272417,.075949363,.045112781,.17677198,.14556962,.067669176,.72287673,.71050382,.77848101,.88721806,.28949615,.22151899,.11278196,5,matched (3)
MENS CASUAL SHIRT,.27606753,.12949975,.14656778,32224,4173,1326,237,99,4723,1428,263,150,23328,7708,1204,696,.36852443,.38165611,.33488059,.28992003,-.26598886,-.27821046,-.25150102,-.24714287,10462,1704,945,.1267444,.1390845,.10476191,.13649398,.15434273,.15873016,.72393245,.73676163,.70657277,.73650795,.26323837,.29342723,.26349208,3,matched (3)
RES2 Womens cardigan (specify,.27557755,.11138614,.16419142,1212,135,0,0,0,199,0,0,0,878,0,0,0,.25547114,,,,-.26079541,,,,0,0,0,,,,,,,.72442245,,,,,,,,matched (3)
BEDSIDE CABINET,.27551705,.1417964,.13372067,44578,6321,0,0,0,5961,0,0,0,32296,0,0,0,.17298481,,,,-.14276475,,,,0,0,0,,,,,,,.72448295,,,,,,,5,matched (3)
FRESH FISH-SALMON FILLETS-KG,.27538478,.15192115,.12346362,27093,4116,668,73,32,3345,558,102,43,19632,3304,489,270,.17916474,.11432205,.093736567,.071669251,-.1613435,-.11074428,-.08829312,-.074397907,4530,664,345,.14746137,.10993976,.092753626,.12317881,.15361446,.12463768,.72461522,.72935981,.73644578,.78260869,.27064019,.26355422,.21739131,1,matched (3)
COLOUR TV 21IN(51-59CM)+REMOTE,.2751022,.10429272,.17080948,24460,2551,0,0,0,4178,0,0,0,17731,0,0,0,.08154171,,,,-.076985925,,,,0,0,0,,,,,,,.7248978,,,,,,,9,matched (3)
HIFI - 2005,.27478376,.090485692,.18429807,1503,136,0,0,0,277,0,0,0,1090,0,0,0,.19089797,,,,-.13285449,,,,0,0,0,,,,,,,.72521621,,,,,,,9,matched (3)
HI-FI RS 2010-11,.27450979,.11184593,.16266388,8619,964,0,0,0,1402,0,0,0,6253,0,0,0,.1672643,,,,-.10929172,,,,0,0,0,,,,,,,.72549021,,,,,,,9,matched (3)
MENS JACKET/COAT,.2741133,.1216132,.15250009,78577,9556,1405,257,167,11983,1525,248,164,57038,7253,1168,627,.28297937,.34858906,.37254339,.39142856,-.22702071,-.26341352,-.25560072,-.29094064,10183,1673,958,.13797505,.15361626,.1743215,.1497594,.14823671,.17118998,.7258867,.71226555,.69814706,.6544885,.28773445,.30185297,.3455115,3,matched (3)
FRESH VEG-COURGETTE-PER KG,.27388537,.13350695,.1403784,31871,4255,1103,166,39,4474,1108,124,69,23142,8101,1346,689,.2246238,.26475221,.2012261,.18240213,-.16069058,-.20379743,-.12944488,-.092527144,10312,1636,797,.10696276,.10146699,.048933502,.10744763,.075794622,.086574651,.72611463,.78558958,.82273841,.86449182,.21441039,.17726162,.13550815,1,matched (3)
WOMEN'S OVERCOAT,.27348238,.073648505,.19983387,14447,1064,0,0,0,2887,0,0,0,10496,0,0,0,.20356731,,,,-.20458645,,,,0,0,0,,,,,,,.72651762,,,,,,,3,matched (3)
"HAT/CAP, ADULT",.27307692,.10423077,.16884616,2600,271,204,315,190,439,277,209,160,1890,1423,1175,723,.33347008,.328796,.24775827,.26930127,-.27141616,-.2811535,-.2428892,-.19528937,1904,1699,1073,.10714286,.18540318,.17707363,.1454832,.12301353,.14911464,.72692305,.74737394,.69158328,.67381173,.25262606,.30841672,.32618827,3,matched (3)
CAMCORDER-8MM OR VHS-C,.27262095,.079532161,.19308878,18810,1496,0,0,0,3632,0,0,0,13682,0,0,0,.102516,,,,-.087717123,,,,0,0,0,,,,,,,.72737902,,,,,,,9,matched (3)
RES2 Mens jumper or sweatshir,.27259886,.11228813,.16031073,1416,159,0,0,0,227,0,0,0,1030,0,0,0,.25936902,,,,-.23931691,,,,0,0,0,,,,,,,.72740114,,,,,,,,matched (3)
APPLES-COOKING-PER KG,.27232623,.15596806,.11635818,75259,11738,474,88,65,8757,422,93,10,54764,7268,579,262,.14679725,.16964908,.27447474,.23741716,-.12994871,-.14288358,-.17301342,-.15506652,8164,760,337,.058059774,.11578947,.19287834,.051690347,.12236842,.029673591,.72767377,.89024985,.76184213,.77744806,.10975012,.2381579,.22255193,1,matched (3)
FROMAGE FRAIS-FLAVOURED-6 PACK,.27178085,.14463691,.12714395,11719,1695,0,0,0,1490,0,0,0,8534,0,0,0,.18399315,,,,-.17734516,,,,0,0,0,,,,,,,.72821915,,,,,,,1,matched (3)
H-KILL PORK-BONELESS SHOULDER,.27159631,.14970134,.12189496,24275,3634,0,0,0,2959,0,0,0,17682,0,0,0,.16542119,,,,-.16569848,,,,0,0,0,,,,,,,.72840369,,,,,,,1,matched (3)
WOMEN'S DRESS SUMMER FABRIC-1,.27143556,.053160217,.21827535,4082,217,0,0,0,891,0,0,0,2974,0,0,0,.20629296,,,,-.22652011,,,,0,0,0,,,,,,,.72856444,,,,,,,3,matched (3)
RES1 Women's cardigan (specify,.27091137,.11860175,.15230961,801,95,0,0,0,122,0,0,0,584,0,0,0,.31992519,,,,-.29944769,,,,0,0,0,,,,,,,.72908866,,,,,,,,matched (3)
"COLA DRINK, DIET 1.25-2LTR",.27043599,.15667576,.11376022,2936,460,324,281,163,334,235,245,151,2142,1723,916,548,.23619862,.25059989,.31278703,.38166666,-.25111181,-.25392213,-.23742679,-.27058041,2282,1442,862,.14198072,.19486824,.18909512,.10297984,.16990291,.17517401,.72956401,.75503945,.63522887,.63573086,.24496056,.36477113,.36426914,1,matched (3)
GIRL'S DRESS-SCHOOL/FORMAL,.27015385,.10769231,.16246153,1625,175,0,0,0,264,0,0,0,1186,0,0,0,.21835829,,,,-.19523938,,,,0,0,0,,,,,,,.72984618,,,,,,,3,matched (3)
BREAKFAST CEREAL 1,.2701284,.13746296,.13266544,35435,4871,1144,265,169,4701,1014,298,156,25863,5400,886,534,.29162094,.35163572,.37731722,.38300002,-.20785099,-.27093118,-.22191858,-.20627534,7558,1449,859,.15136279,.18288475,.19674039,.13416247,.20565908,.18160652,.72987157,.71447474,.61145616,.62165308,.28552526,.38854384,.37834692,1,matched (3)
BRIE PER KG,.26958221,.15376769,.11581453,23529,3618,0,0,0,2725,0,0,0,17186,0,0,0,.12782981,,,,-.12124357,,,,0,0,0,,,,,,,.73041779,,,,,,,1,matched (3)
WOMEN'S FRML WRK SKIRT/TROUSRS,.26938659,.11627249,.15311411,10613,1234,0,0,0,1625,0,0,0,7754,0,0,0,.27322605,,,,-.22003584,,,,0,0,0,,,,,,,.73061341,,,,,,,3,matched (3)
DINING ROOM TABLE-EXTENDABLE,.26925007,.1440933,.12515676,23922,3447,0,0,0,2994,0,0,0,17481,0,0,0,.11813863,,,,-.11528532,,,,0,0,0,,,,,,,.73074996,,,,,,,5,matched (3)
CIGARETTES 15,.26877525,.22530305,.043472204,28708,6468,829,55,27,1248,247,25,14,20992,3699,756,435,.020449899,.032383103,.040044788,.04921918,-.019207481,-.03654667,-.049483441,-.053140104,4775,836,476,.17361256,.065789476,.056722689,.051727749,.029904306,.029411765,.73122478,.77465969,.90430623,.91386557,.22534031,.095693782,.086134456,2,matched (3)
RED WINE- EUROPEAN 75CL,.26849413,.14969186,.11880226,39107,5854,1209,326,181,4646,1004,363,201,28607,5277,846,532,.20430268,.21992587,.19905742,.19882312,-.17877175,-.19969025,-.17560363,-.1740649,7490,1535,914,.16141522,.21237785,.19803064,.13404539,.23648208,.21991247,.73150587,.70453936,.55114007,.58205688,.29546061,.44885993,.41794312,2,matched (3)
LAGER PACK 12 CANS 440-500ML,.26778847,.13124999,.13653846,2080,273,0,0,0,284,0,0,0,1523,0,0,0,.21838348,,,,-.1704549,,,,0,0,0,,,,,,,.73221153,,,,,,,2,matched (3)
CHEESE CHESHIRE-PER KG,.26761854,.17568909,.091929451,13097,2301,0,0,0,1204,0,0,0,9592,0,0,0,.093773194,,,,-.095539935,,,,0,0,0,,,,,,,.73238146,,,,,,,1,matched (3)
NEST OF TABLES,.26757842,.12591051,.1416679,6727,847,0,0,0,953,0,0,0,4927,0,0,0,.15949726,,,,-.1397891,,,,0,0,0,,,,,,,.73242158,,,,,,,5,matched (3)
CIGARETTES 20,.26750663,.22612733,.04137931,15080,3410,7,0,0,624,3,0,0,11046,105,0,0,.024544241,.010380641,,,-.030105736,-.026995363,,,115,0,0,.060869563,,,.026086956,,,.73249334,.9130435,,,.086956516,,,2,matched (3)
BROWN ALE-4 CANS 440-500ML,.26750472,.17144328,.096061438,23308,3996,0,0,0,2239,0,0,0,17073,0,0,0,.087529637,,,,-.084482133,,,,0,0,0,,,,,,,.73249531,,,,,,,2,matched (3)
KITCHEN ROLL,.26690859,.1362742,.13063437,22873,3117,538,95,25,2988,421,92,33,16768,3429,414,239,.28688592,.35243672,.36588886,.30353534,-.18768421,-.26175347,-.29702383,-.27708334,4388,601,297,.12260711,.15806988,.084175088,.095943481,.1530782,.11111111,.73309141,.78144944,.68885189,.80471379,.21855059,.31114808,.1952862,5,matched (3)
WOMEN'S RAINPROOF COAT/JKT,.26651436,.10253189,.16398248,26265,2693,0,0,0,4307,0,0,0,19265,0,0,0,.24979118,,,,-.20412812,,,,0,0,0,,,,,,,.73348564,,,,,,,3,matched (3)
DRIED POTTED SNACK 50-120G,.26609164,.13593458,.13015705,24578,3341,914,164,87,3199,859,148,91,18038,2918,456,266,.33147174,.5565291,.54479164,.61166668,-.22235726,-.35425919,-.32083333,-.27333331,4691,768,444,.19484119,.21354167,.19594595,.1831166,.19270833,.20495495,.73390836,.62204218,.59375,.5990991,.37795779,.40625,.4009009,1,matched (3)
CHILD'S JUMPER/SWEATSHIRT,.266,.1076,.1584,7500,807,0,0,0,1188,0,0,0,5505,0,0,0,.29735273,,,,-.25286105,,,,0,0,0,,,,,,,.73400003,,,,,,,3,matched (3)
CHILD'S JUMPER/SWEATSHIRT,.266,.1076,.1584,7500,807,0,0,0,1188,0,0,0,5505,0,0,0,.29735273,,,,-.25286105,,,,0,0,0,,,,,,,.73400003,,,,,,,3,matched (3)
COFFEE TABLE,.26573944,.13253796,.13320149,76861,10187,932,163,98,10238,970,180,124,56436,5936,1046,599,.17944624,.17362592,.17875475,.15170214,-.15955375,-.16661142,-.17865698,-.19403662,7838,1389,821,.11890788,.11735062,.11936662,.12375606,.12958963,.15103532,.73426056,.75733608,.75305974,.72959805,.24266395,.24694026,.27040195,5,matched (3)
MAYONNAISE 400G-500G,.26556236,.13034002,.13522232,45880,5980,991,293,187,6204,1060,316,194,33696,5828,907,533,.26308385,.3642382,.28903925,.24379613,-.17718242,-.2534177,-.24792789,-.25934124,7879,1516,914,.12577738,.19327177,.20459519,.13453484,.20844327,.21225382,.73443764,.7396878,.59828496,.58315098,.2603122,.40171504,.41684902,1,matched (3)
APPLE CIDER 500-750ML 4.5-5.5%,.26543787,.14117047,.12426739,11773,1662,37,0,0,1463,3,0,0,8648,99,0,0,.2169029,.2,,,-.17945859,-.32258064,,,139,0,0,.26618704,,,.021582734,,,.73456216,.71223021,,,.28776976,,,2,matched (3)
HEADPHONES SPECIFY TYPE,.26513824,.12285826,.14227998,20544,2524,1567,279,183,2923,1759,307,194,15097,8801,1516,932,.2464956,.25946477,.28329551,.28774804,-.18022119,-.19426227,-.23545125,-.21303497,12127,2102,1309,.12921581,.13273074,.13980137,.14504825,.14605138,.14820474,.73486173,.72573596,.72121787,.71199387,.27426404,.27878213,.28800613,9,matched (3)
FROZEN BREAD/BAT FISH 400-550G,.26509711,.13964558,.12545153,23531,3286,1019,152,75,2952,736,187,81,17293,5424,970,591,.29694507,.28112367,.22386074,.20591526,-.21982203,-.23900092,-.17305598,-.15605621,7179,1309,747,.14194177,.11611918,.10040161,.10252124,.14285715,.10843374,.73490292,.75553697,.74102366,.79116464,.24446301,.25897634,.20883535,1,matched (3)
SHOWER GEL 150-250ML,.26429299,.12994236,.13435063,29490,3832,651,153,105,3962,605,155,85,21696,4085,712,423,.57174975,.69612092,.78344256,.84128582,-.3300949,-.41988763,-.34651795,-.367452,5341,1020,613,.12188729,.15000001,.17128874,.11327467,.15196079,.13866232,.73570704,.76483804,.69803923,.69004893,.23516196,.3019608,.30995107,12,matched (3)
MEN'S SUIT-READY MADE -2,.26249859,.12188241,.14061618,8861,1080,0,0,0,1246,0,0,0,6535,0,0,0,.19647765,,,,-.17800269,,,,0,0,0,,,,,,,.73750138,,,,,,,3,matched (3)
20 FILTER - OTHER BRAND,.26229089,.22908886,.033202026,19547,4478,865,115,54,649,118,24,10,14420,3934,738,436,.017861431,.020929672,.022092775,.024523795,-.015827065,-.02136174,-.024504501,-.017702408,4917,877,500,.17592028,.13112885,.108,.023998372,.02736602,.02,.73770911,.80008137,.84150511,.87199998,.19991866,.15849486,.12800001,2,matched (3)
WOMEN'S SKIRT-WINTER FABRIC-1,.26214522,.092296354,.16984887,13565,1252,0,0,0,2304,0,0,0,10009,0,0,0,.20103732,,,,-.1999473,,,,0,0,0,,,,,,,.73785478,,,,,,,3,matched (3)
BITTER-4CANS-440-500ML,.26213396,.13431439,.12781955,34181,4591,313,68,35,4369,174,50,22,25221,3481,424,225,.13673526,.089471519,.063307755,.078478128,-.12858365,-.097202159,-.077810667,-.071497068,3968,542,282,.078881048,.12546125,.12411348,.043850806,.092250921,.078014188,.73786604,.87726814,.78228784,.79787236,.12273185,.21771216,.20212767,2,matched (3)
HOME KILLED PORK-LOIN CHOPS KG,.26211894,.1495382,.11258075,74924,11204,625,54,28,8435,404,58,16,55285,5530,624,317,.10197012,.11206694,.091011651,.075339667,-.10635287,-.13821749,-.079563245,-.085151166,6559,736,361,.095288917,.073369563,.077562325,.061594754,.078804351,.044321328,.73788106,.84311634,.84782606,.87811637,.15688367,.15217391,.12188365,1,matched (3)
CIGARETTES 9,.26204169,.21885675,.043184925,35128,7688,0,0,0,1517,0,0,0,25923,0,0,0,.021503901,,,,-.017244389,,,,0,0,0,,,,,,,.73795831,,,,,,,2,matched (3)
DINING ROOM CHAIR-WITHOUT ARMS,.26181439,.13801518,.1237992,25816,3563,0,0,0,3196,0,0,0,19057,0,0,0,.13963905,,,,-.13486443,,,,0,0,0,,,,,,,.73818564,,,,,,,5,matched (3)
5 CIGARS: SPECIFY BRAND,.26140347,.22020023,.041203257,63029,13879,779,123,93,2597,120,35,11,46553,3656,595,333,.022776969,.022767678,.024365135,.022016905,-.026551833,-.037893429,-.055150017,-.024277678,4555,753,437,.17102085,.16334662,.21281464,.026344676,.046480745,.025171624,.7385965,.80263448,.79017264,.76201373,.19736552,.20982736,.23798627,2,matched (3)
CHILDS TROUSERS (18MTHS-4YR),.26139182,.1254551,.13593674,43123,5410,1343,265,166,5862,1304,270,183,31851,7469,1253,726,.26782534,.29054287,.38357836,.43463203,-.22817944,-.21642728,-.24881524,-.29186368,10116,1788,1075,.13275999,.14821029,.1544186,.1289047,.15100671,.17023256,.73860818,.73833531,.70078301,.67534882,.26166469,.29921699,.32465118,3,matched (3)
WHITE WINE- EUROPEAN 75CL,.26085415,.14646132,.11439282,39478,5782,1166,222,138,4516,952,259,148,29180,5544,969,546,.18695439,.19695747,.19611187,.18827473,-.16381666,-.17498469,-.15937465,-.158365,7662,1450,832,.15217958,.15310344,.16586539,.12424954,.1786207,.17788461,.73914587,.72357088,.66827583,.65625,.27642912,.33172414,.34375,2,matched (3)
"FLAVRD TEA 15-20 BAGS, 30-40G",.26061058,.14110202,.11950856,2686,379,247,194,72,321,190,175,115,1986,1646,1068,665,.2813502,.30042192,.20750001,.21333334,-.22051662,-.23560674,-.20474319,-.22398879,2083,1437,852,.11857897,.13500348,.084507041,.091214597,.12178149,.13497652,.73938942,.79020643,.74321502,.78051645,.20979357,.25678498,.21948355,1,matched (3)
WOMEN'S SHOWERPROOF JACKET,.25927165,.12150069,.13777097,20897,2539,770,166,106,2879,776,158,105,15479,3649,641,392,.30665511,.26641646,.31663617,.30358085,-.23835722,-.19980571,-.19617872,-.19534409,5195,965,603,.14821944,.17202072,.17578773,.1493744,.16373058,.17412935,.74072832,.70240617,.6642487,.65008295,.29759383,.3357513,.34991708,3,matched (3)
WOMEN'S SHOWERPROOF JACKET,.25927165,.12150069,.13777097,20897,2539,770,166,106,2879,776,158,105,15479,3649,641,392,.30665511,.26641646,.31663617,.30358085,-.23835722,-.19980571,-.19617872,-.19534409,5195,965,603,.14821944,.17202072,.17578773,.1493744,.16373058,.17412935,.74072832,.70240617,.6642487,.65008295,.29759383,.3357513,.34991708,3,matched (3)
CHILD'S DUNGAREES,.25830144,.11515179,.14314964,22466,2587,0,0,0,3216,0,0,0,16663,0,0,0,.20846693,,,,-.18398409,,,,0,0,0,,,,,,,.74169856,,,,,,,3,matched (3)
GIRL'S TROUSERS NOT DENIM,.25761032,.12037547,.13723485,38139,4591,1192,254,141,5234,1285,256,155,28314,6859,1100,699,.31701383,.34472284,.37524539,.42483315,-.25578034,-.27460888,-.2165539,-.21385466,9336,1610,995,.12767781,.15776397,.14170854,.13763924,.15900621,.1557789,.74238968,.73468298,.6832298,.70251256,.26531705,.3167702,.29748744,3,matched (3)
MICROWAVE (STATE IF COMBINED),.25757694,.10344918,.15412776,38241,3956,0,0,0,5894,0,0,0,28391,0,0,0,.1299511,,,,-.10420231,,,,0,0,0,,,,,,,.74242306,,,,,,,5,matched (3)
MENS OFFICIAL FOOTBALL SHIRT,.25694254,.10784905,.14909349,18257,1969,429,108,37,2722,582,91,72,13566,2349,540,371,.37909004,.43944988,.35574692,.20978284,-.2276414,-.22859395,-.24114609,-.22032239,3360,739,480,.12767857,.14614344,.077083334,.17321429,.12313937,.15000001,.74305743,.69910717,.73071718,.77291667,.30089286,.26928282,.22708334,3,matched (3)
BACON-STREAKY-PER KG,.2566011,.14945023,.10715088,26738,3996,0,0,0,2865,0,0,0,19877,0,0,0,.095943071,,,,-.090439811,,,,0,0,0,,,,,,,.7433989,,,,,,,1,matched (3)
GIRL'S DRESS 5-15 YRS,.25655976,.098153546,.15840621,5145,505,0,0,0,815,0,0,0,3825,0,0,0,.27696702,,,,-.21836875,,,,0,0,0,,,,,,,.74344021,,,,,,,3,matched (3)
SINGLE BED-WIDTH 90CM/3FT,.25606975,.13326487,.12280488,57457,7657,1085,194,125,7056,907,157,91,42744,5768,945,524,.20113263,.16185233,.19969022,.22037031,-.16247903,-.16903661,-.17684123,-.18029632,7760,1296,740,.13981959,.14969136,.16891892,.11688145,.12114198,.12297297,.74393022,.74329895,.72916669,.70810813,.25670105,.27083334,.2918919,5,matched (3)
VERMOUTH-75 CL BOTTLE,.25568253,.15670729,.098975249,23713,3716,0,0,0,2347,0,0,0,17650,0,0,0,.06639944,,,,-.072633527,,,,0,0,0,,,,,,,.74431747,,,,,,,2,matched (3)
FROZEN FISH FINGERS 8-12 PK,.25544447,.13236669,.12307779,35311,4674,1100,275,157,4346,827,215,81,26291,5383,1047,678,.25905374,.25328898,.22173078,.20400001,-.18809679,-.21081255,-.20143741,-.1906565,7310,1537,916,.1504788,.17891997,.17139737,.11313269,.13988289,.088427946,.74455553,.7363885,.68119717,.74017465,.2636115,.31880286,.25982532,1,matched (3)
FRESH/CHILLED CHICKEN PIECES,.25486046,.13860314,.11625732,20317,2816,0,0,0,2362,0,0,0,15139,0,0,0,.1524168,,,,-.1455404,,,,0,0,0,,,,,,,.74513954,,,,,,,1,matched (3)
CARPET-TUFTED PER SQ M,.25471646,.14106464,.11365181,89739,12659,0,0,0,10199,0,0,0,66881,0,0,0,.16779189,,,,-.16609919,,,,0,0,0,,,,,,,.74528354,,,,,,,5,matched (3)
CARPET-TUFTED PER SQ M,.25471646,.14106464,.11365181,89739,12659,0,0,0,10199,0,0,0,66881,0,0,0,.16779189,,,,-.16609919,,,,0,0,0,,,,,,,.74528354,,,,,,,5,matched (3)
WOMEN'S JEANS- BRANDED,.25456703,.11690814,.13765888,26987,3155,437,131,52,3715,513,140,98,20117,3567,290,176,.3075299,.33362588,.33315188,.34732869,-.23096068,-.23449573,-.20526662,-.23398781,4517,561,326,.096745625,.23351158,.1595092,.11357095,.24955437,.30061349,.74543297,.7896834,.51693404,.5398773,.21031657,.48306596,.4601227,3,matched (3)
WOMEN'S TROUSERS -2,.25439194,.10754149,.14685044,10303,1108,0,0,0,1513,0,0,0,7682,0,0,0,.28186572,,,,-.22549242,,,,0,0,0,,,,,,,.74560809,,,,,,,3,matched (3)
OLIVE OIL - 500ML - 1 LITRE,.25432926,.12780488,.12652439,32800,4192,895,157,86,4150,744,192,68,24458,6196,984,586,.29434514,.38132888,.55008596,.604231,-.19741452,-.26584363,-.20121573,-.22327851,7835,1333,740,.11423101,.11777944,.11621621,.094958521,.14403601,.091891892,.74567074,.79081047,.73818457,.79189187,.20918953,.26181546,.2081081,1,matched (3)
PHONE NT MOBILE(SPEC DIG/ANAL),.25397629,.11465613,.13932016,31625,3626,761,93,54,4406,754,77,49,23593,4191,886,538,.28491166,.45289063,.49186286,.59753609,-.20082109,-.27438062,-.36868507,-.38903099,5706,1056,641,.13336839,.08806818,.084243372,.13214161,.072916664,.076443061,.74602371,.73449004,.83901513,.83931357,.26550999,.16098484,.16068643,8,matched (3)
BREAKFAST CEREAL 2,.25360698,.13133319,.1222738,35764,4697,1007,149,96,4373,864,148,70,26694,6085,1201,692,.20682645,.25406492,.34589961,.40200001,-.15984617,-.23194163,-.24959062,-.2187575,7956,1498,858,.12657115,.099465951,.11188811,.10859729,.098798394,.081585079,.74639302,.7648316,.80173564,.80652678,.23516843,.19826435,.19347319,1,matched (3)
CIGARETTES 13,.25321573,.22895995,.024255788,16326,3738,0,0,0,396,0,0,0,12192,0,0,0,.01811639,,,,-.02198967,,,,0,0,0,,,,,,,.74678427,,,,,,,2,matched (3)
CONDITIONER FOR HAIR,.25302774,.12769735,.12533039,25349,3237,1085,231,122,3177,1116,309,200,18935,6147,1133,672,.62354219,.71131599,.77541119,.73500001,-.3854045,-.40650058,-.3426407,-.32571429,8348,1673,994,.12997125,.13807531,.12273642,.13368471,.18469815,.20120725,.74697226,.73634404,.67722654,.67605633,.26365596,.32277346,.32394367,12,matched (3)
